config	seed	checkpoint	blimp_task	accuracy	hidden_size	layers	config_short	num_params
layers_2_hs_384_heads_12_cl_256	13	5	irregular_forms	0.9323155216284987	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	island_effects	0.5620328849028401	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	npi_licensing	0.6585180686304282	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	quantifiers	0.7215352910870685	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	subject_verb_agreement	0.7564588979223126	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	hypernym	0.4906976744186046	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	qa_congruence_easy	0.609375	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	qa_congruence_tricky	0.3575757575757576	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	subject_aux_inversion	0.839473042205416	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	turn_taking	0.625	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	anaphor_agreement	0.9585889570552147	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	argument_structure	0.7633365664403492	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	binding	0.7086672603146335	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	control_raising	0.6942112240388865	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	determiner_noun_agreement	0.9086449217714134	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	ellipsis	0.6287528868360277	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	filler_gap	0.6820728291316527	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	irregular_forms	0.9318066157760814	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	island_effects	0.5422272047832586	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	npi_licensing	0.6163073185545096	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	quantifiers	0.7071097372488409	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	subject_verb_agreement	0.7575429087624209	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	hypernym	0.47674418604651164	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	qa_congruence_easy	0.546875	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	qa_congruence_tricky	0.42424242424242425	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	subject_aux_inversion	0.8065381800439132	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	turn_taking	0.6714285714285714	384	2	2*384	4139520
layers_2_hs_768_heads_12_cl_256	13	5	anaphor_agreement	0.9749488752556237	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	argument_structure	0.7790979631425801	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	binding	0.7119323241317899	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	control_raising	0.7174105170128149	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	determiner_noun_agreement	0.9168655529037391	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	ellipsis	0.6991916859122402	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	filler_gap	0.7033924680983504	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	irregular_forms	0.9363867684478372	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	island_effects	0.5366218236173393	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	npi_licensing	0.5696932887944124	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	quantifiers	0.7076249356002061	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	subject_verb_agreement	0.7859078590785907	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	hypernym	0.4569767441860465	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	qa_congruence_easy	0.609375	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	qa_congruence_tricky	0.42424242424242425	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	subject_aux_inversion	0.7999512076116125	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	turn_taking	0.7321428571428571	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	anaphor_agreement	0.9723926380368099	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	argument_structure	0.7698836081474297	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	binding	0.724102107450282	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	control_raising	0.7176314626601856	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	determiner_noun_agreement	0.9281357730045081	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	ellipsis	0.6922632794457275	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	filler_gap	0.688608776844071	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	irregular_forms	0.9017811704834605	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	island_effects	0.507473841554559	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	npi_licensing	0.6223808077740662	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	quantifiers	0.6749098402885111	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	subject_verb_agreement	0.802710027100271	768	2	2*768	14177280
