config	seed	checkpoint	msgs_task	accuracy	hidden_size	layers	config_short	num_params
layers_2_hs_768_heads_12_cl_256	13	5	control_raising_control	0.9229562282562256	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	syntactic_category_control	0.7892452478408813	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	lexical_content_the_control	0.7546703219413757	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	relative_position_control	0.9543444514274597	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6721118688583374	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6669001579284668	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.6293646097183228	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6687686443328857	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6646119356155396	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6691125631332397	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	main_verb_control	0.9060550332069397	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	control_raising_control	0.9369301795959473	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	syntactic_category_control	0.8448227047920227	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	lexical_content_the_control	0.7525274753570557	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	relative_position_control	0.9648463129997253	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.662835419178009	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6674357056617737	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.7033545970916748	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6595225930213928	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.664806067943573	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6689087152481079	768	2	2*768	14177280
layers_2_hs_1536_heads_12_cl_256	13	5	main_verb_control	0.938103973865509	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	control_raising_control	0.9295322299003601	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	syntactic_category_control	0.8089735507965088	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	lexical_content_the_control	0.7537912130355835	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	relative_position_control	0.9694892764091492	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6667270064353943	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6638925671577454	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.6116704344749451	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	syntactic_category_relative_position	0.62675541639328	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.665825366973877	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6691533327102661	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	main_verb_control	0.9188379049301147	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	control_raising_control	0.9331938624382019	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	syntactic_category_control	0.8491629362106323	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	lexical_content_the_control	0.7524175643920898	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	relative_position_control	0.9702631235122681	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.6742386817932129	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6749752759933472	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.7957671284675598	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6357305645942688	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6660680770874023	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6730667352676392	1536	2	2*1536	59025408
layers_4_hs_192_heads_12_cl_256	0	5	main_verb_control	0.9166972637176514	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	control_raising_control	0.9262441992759705	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	syntactic_category_control	0.797305703163147	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	lexical_content_the_control	0.8237362504005432	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	relative_position_control	0.9870108366012573	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.6750531792640686	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6762112975120544	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.5855361819267273	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	syntactic_category_relative_position	0.653913140296936	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6684948801994324	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6703354716300964	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	main_verb_control	0.926727831363678	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	control_raising_control	0.9145867824554443	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	syntactic_category_control	0.8227834105491638	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	lexical_content_the_control	0.7952747344970703	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	relative_position_control	0.9776697158813477	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6809810400009155	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6733272671699524	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.6556702852249146	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6362335085868835	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6648546457290649	192	4	4*192	2074752
layers_4_hs_192_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6681342124938965	192	4	4*192	2074752
layers_4_hs_384_heads_12_cl_256	13	5	main_verb_control	0.942324161529541	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	control_raising_control	0.9594978094100952	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	syntactic_category_control	0.7709824442863464	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	lexical_content_the_control	0.829230785369873	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	relative_position_control	0.9793278574943542	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6757771968841553	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	main_verb_relative_token_position	0.672585666179657	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.6465446949005127	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6331772804260254	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6662622094154358	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6743711829185486	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	main_verb_control	0.9669113159179688	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	control_raising_control	0.9225078225135803	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	syntactic_category_control	0.7942618727684021	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	lexical_content_the_control	0.8330219984054565	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	relative_position_control	0.9829206466674805	384	4	4*384	7688448
